#,Event UUID,Title,Subtitle,Discipline,Competition,Stage,Group #,Time,Performance #,Ranked,Rank,Mark Total,Team,Team Rank,Team Mark,Code,Athlete #,External ID,Surname,Given Name,Representing,Date of Birth,Sex,Routine #,Mark,# Elements,Bonus,Penalty,Judge,∑,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,L,A
1,c4f02001-b71e-4c69-7ec9-567195668e9d,"FIG World Cup 2018, LOULÉ","5–6 October 2018, Loulé, Portugal, EVENT ID: 15407",TRA,Individual Men,Qualification,1,,1,TRUE,10,110755,0,99,0,,1,14263,FERREIRA,Pedro,POR,01/01/0001,,1,52180,10,0,0,E1,94,0,0,1,0,1,0,1,0,1,1,1,
2,c4f02001-b71e-4c69-7ec9-567195668e9d,"FIG World Cup 2018, LOULÉ","5–6 October 2018, Loulé, Portugal, EVENT ID: 15407",TRA,Individual Men,Qualification,1,,1,TRUE,10,110755,0,99,0,,1,14263,FERREIRA,Pedro,POR,01/01/0001,,1,52180,10,0,0,E2,95,0,0,0,0,1,0,1,0,1,1,1,
3,c4f02001-b71e-4c69-7ec9-567195668e9d,"FIG World Cup 2018, LOULÉ","5–6 October 2018, Loulé, Portugal, EVENT ID: 15407",TRA,Individual Men,Qualification,1,,1,TRUE,10,110755,0,99,0,,1,14263,FERREIRA,Pedro,POR,01/01/0001,,1,52180,10,0,0,E3,92,1,0,1,0,1,0,2,0,1,1,1,
4,c4f02001-b71e-4c69-7ec9-567195668e9d,"FIG World Cup 2018, LOULÉ","5–6 October 2018, Loulé, Portugal, EVENT ID: 15407",TRA,Individual Men,Qualification,1,,1,TRUE,10,110755,0,99,0,,1,14263,FERREIRA,Pedro,POR,01/01/0001,,1,52180,10,0,0,E4,89,1,1,2,0,1,0,1,1,1,2,1,
5,c4f02001-b71e-4c69-7ec9-567195668e9d,"FIG World Cup 2018, LOULÉ","5–6 October 2018, Loulé, Portugal, EVENT ID: 15407",TRA,Individual Men,Qualification,1,,1,TRUE,10,110755,0,99,0,,1,14263,FERREIRA,Pedro,POR,01/01/0001,,1,52180,10,0,0,E5,93,0,1,0,0,1,0,1,0,1,2,1,
6,c4f02001-b71e-4c69-7ec9-567195668e9d,"FIG World Cup 2018, LOULÉ","5–6 October 2018, Loulé, Portugal, EVENT ID: 15407",TRA,Individual Men,Qualification,1,,1,TRUE,10,110755,0,99,0,,1,14263,FERREIRA,Pedro,POR,01/01/0001,,1,52180,10,0,0,E8,91,1,1,1,0,0,1,1,0,1,2,1,
7,c4f02001-b71e-4c69-7ec9-567195668e9d,"FIG World Cup 2018, LOULÉ","5–6 October 2018, Loulé, Portugal, EVENT ID: 15407",TRA,Individual Men,Qualification,1,,1,TRUE,10,110755,0,99,0,,1,14263,FERREIRA,Pedro,POR,01/01/0001,,1,52180,10,0,0,E∑,185,1,1,2,0,2,0,2,0,2,3,2,0
8,c4f02001-b71e-4c69-7ec9-567195668e9d,"FIG World Cup 2018, LOULÉ","5–6 October 2018, Loulé, Portugal, EVENT ID: 15407",TRA,Individual Men,Qualification,1,,1,TRUE,10,110755,0,99,0,,1,14263,FERREIRA,Pedro,POR,01/01/0001,,1,52180,10,0,0,T,18930,,,,,,,,,,,,
9,c4f02001-b71e-4c69-7ec9-567195668e9d,"FIG World Cup 2018, LOULÉ","5–6 October 2018, Loulé, Portugal, EVENT ID: 15407",TRA,Individual Men,Qualification,1,,1,TRUE,10,110755,0,99,0,,1,14263,FERREIRA,Pedro,POR,01/01/0001,,1,52180,10,0,0,D,52,0,,,,,,,,,,,
10,c4f02001-b71e-4c69-7ec9-567195668e9d,"FIG World Cup 2018, LOULÉ","5–6 October 2018, Loulé, Portugal, EVENT ID: 15407",TRA,Individual Men,Qualification,1,,1,TRUE,10,110755,0,99,0,,1,14263,FERREIRA,Pedro,POR,01/01/0001,,1,52180,10,0,0,H,955,960,950,,,,,,,,,,
11,c4f02001-b71e-4c69-7ec9-567195668e9d,"FIG World Cup 2018, LOULÉ","5–6 October 2018, Loulé, Portugal, EVENT ID: 15407",TRA,Individual Men,Qualification,1,,1,TRUE,10,110755,0,99,0,,1,14263,FERREIRA,Pedro,POR,01/01/0001,,2,58575,10,0,0,E1,78,2,2,2,3,2,2,1,3,2,2,1,
12,c4f02001-b71e-4c69-7ec9-567195668e9d,"FIG World Cup 2018, LOULÉ","5–6 October 2018, Loulé, Portugal, EVENT ID: 15407",TRA,Individual Men,Qualification,1,,1,TRUE,10,110755,0,99,0,,1,14263,FERREIRA,Pedro,POR,01/01/0001,,2,58575,10,0,0,E2,74,2,2,3,3,2,2,2,3,3,3,1,
