#,Event UUID,Title,Subtitle,Discipline,Competition,Stage,Group #,Time,Performance #,Ranked,Rank,Mark Total,Team,Team Rank,Team Mark,Code,Athlete #,External ID,Surname,Given Name,Representing,Date of Birth,Sex,Routine #,Mark,# Elements,Bonus,Penalty,Judge,∑,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,L,A
1,17bf8c94-fc46-4f8e-7e4d-cbf02abbaf09,FIG TRAMPOLINE WORLD CUP 2017 (FIG Event ID: 15074),"Minsk, Belarus, 18-19 August",TRA,MEN,Qualification,1,"18.08.2017, 16:00 - 16:50",1,TRUE,22,103130,0,99,0,,1,23427,AGHAMIROV,Ruslan,AZE,01/01/0001,,1,48110,10,0,0,E1,87,0,1,1,1,1,1,2,1,2,2,1,
2,17bf8c94-fc46-4f8e-7e4d-cbf02abbaf09,FIG TRAMPOLINE WORLD CUP 2017 (FIG Event ID: 15074),"Minsk, Belarus, 18-19 August",TRA,MEN,Qualification,1,"18.08.2017, 16:00 - 16:50",1,TRUE,22,103130,0,99,0,,1,23427,AGHAMIROV,Ruslan,AZE,01/01/0001,,1,48110,10,0,0,E2,88,1,1,0,1,1,1,1,1,2,2,1,
3,17bf8c94-fc46-4f8e-7e4d-cbf02abbaf09,FIG TRAMPOLINE WORLD CUP 2017 (FIG Event ID: 15074),"Minsk, Belarus, 18-19 August",TRA,MEN,Qualification,1,"18.08.2017, 16:00 - 16:50",1,TRUE,22,103130,0,99,0,,1,23427,AGHAMIROV,Ruslan,AZE,01/01/0001,,1,48110,10,0,0,E3,81,1,1,1,1,2,2,2,2,3,2,2,0
4,17bf8c94-fc46-4f8e-7e4d-cbf02abbaf09,FIG TRAMPOLINE WORLD CUP 2017 (FIG Event ID: 15074),"Minsk, Belarus, 18-19 August",TRA,MEN,Qualification,1,"18.08.2017, 16:00 - 16:50",1,TRUE,22,103130,0,99,0,,1,23427,AGHAMIROV,Ruslan,AZE,01/01/0001,,1,48110,10,0,0,E4,84,1,2,1,1,2,1,1,1,3,2,1,
5,17bf8c94-fc46-4f8e-7e4d-cbf02abbaf09,FIG TRAMPOLINE WORLD CUP 2017 (FIG Event ID: 15074),"Minsk, Belarus, 18-19 August",TRA,MEN,Qualification,1,"18.08.2017, 16:00 - 16:50",1,TRUE,22,103130,0,99,0,,1,23427,AGHAMIROV,Ruslan,AZE,01/01/0001,,1,48110,10,0,0,E5,100,,,,,,,,,,,,
6,17bf8c94-fc46-4f8e-7e4d-cbf02abbaf09,FIG TRAMPOLINE WORLD CUP 2017 (FIG Event ID: 15074),"Minsk, Belarus, 18-19 August",TRA,MEN,Qualification,1,"18.08.2017, 16:00 - 16:50",1,TRUE,22,103130,0,99,0,,1,23427,AGHAMIROV,Ruslan,AZE,01/01/0001,,1,48110,10,0,0,E8,100,,,,,,,,,,,,
7,17bf8c94-fc46-4f8e-7e4d-cbf02abbaf09,FIG TRAMPOLINE WORLD CUP 2017 (FIG Event ID: 15074),"Minsk, Belarus, 18-19 August",TRA,MEN,Qualification,1,"18.08.2017, 16:00 - 16:50",1,TRUE,22,103130,0,99,0,,1,23427,AGHAMIROV,Ruslan,AZE,01/01/0001,,1,48110,10,0,0,E∑,171,2,2,2,2,3,2,3,2,5,4,2,0
8,17bf8c94-fc46-4f8e-7e4d-cbf02abbaf09,FIG TRAMPOLINE WORLD CUP 2017 (FIG Event ID: 15074),"Minsk, Belarus, 18-19 August",TRA,MEN,Qualification,1,"18.08.2017, 16:00 - 16:50",1,TRUE,22,103130,0,99,0,,1,23427,AGHAMIROV,Ruslan,AZE,01/01/0001,,1,48110,10,0,0,T,17310,,,,,,,,,,,,
9,17bf8c94-fc46-4f8e-7e4d-cbf02abbaf09,FIG TRAMPOLINE WORLD CUP 2017 (FIG Event ID: 15074),"Minsk, Belarus, 18-19 August",TRA,MEN,Qualification,1,"18.08.2017, 16:00 - 16:50",1,TRUE,22,103130,0,99,0,,1,23427,AGHAMIROV,Ruslan,AZE,01/01/0001,,1,48110,10,0,0,D,42,0,,,,,,,,,,,
10,17bf8c94-fc46-4f8e-7e4d-cbf02abbaf09,FIG TRAMPOLINE WORLD CUP 2017 (FIG Event ID: 15074),"Minsk, Belarus, 18-19 August",TRA,MEN,Qualification,1,"18.08.2017, 16:00 - 16:50",1,TRUE,22,103130,0,99,0,,1,23427,AGHAMIROV,Ruslan,AZE,01/01/0001,,1,48110,10,0,0,H,950,960,940,,,,,,,,,,
11,17bf8c94-fc46-4f8e-7e4d-cbf02abbaf09,FIG TRAMPOLINE WORLD CUP 2017 (FIG Event ID: 15074),"Minsk, Belarus, 18-19 August",TRA,MEN,Qualification,1,"18.08.2017, 16:00 - 16:50",1,TRUE,22,103130,0,99,0,,1,23427,AGHAMIROV,Ruslan,AZE,01/01/0001,,2,55020,10,0,0,E1,76,2,3,3,2,3,2,2,2,2,3,0,
12,17bf8c94-fc46-4f8e-7e4d-cbf02abbaf09,FIG TRAMPOLINE WORLD CUP 2017 (FIG Event ID: 15074),"Minsk, Belarus, 18-19 August",TRA,MEN,Qualification,1,"18.08.2017, 16:00 - 16:50",1,TRUE,22,103130,0,99,0,,1,23427,AGHAMIROV,Ruslan,AZE,01/01/0001,,2,55020,10,0,0,E2,75,2,2,2,3,2,3,2,3,2,3,1,
