#,Event UUID,Title,Subtitle,Discipline,Competition,Stage,Group #,Time,Performance #,Ranked,Rank,Mark Total,Team,Team Rank,Team Mark,Code,Athlete #,External ID,Surname,Given Name,Representing,Date of Birth,Sex,Routine #,Mark,# Elements,Bonus,Penalty,Judge,∑,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,L,A
1,cc81c257-c9ec-46a8-5573-2a48471f3098,第57回全日本トランポリン競技選手権大会 予選会,,TRA,男子,Qualification,1,,1,TRUE,33,53460,0,99,0,,1,0,島田,諒太,ヒロセホールディングス株式会社,01/01/0001,,1,53460,10,0,0,E1,88,1,0,0,1,1,2,2,1,2,2,0,
2,cc81c257-c9ec-46a8-5573-2a48471f3098,第57回全日本トランポリン競技選手権大会 予選会,,TRA,男子,Qualification,1,,1,TRUE,33,53460,0,99,0,,1,0,島田,諒太,ヒロセホールディングス株式会社,01/01/0001,,1,53460,10,0,0,E2,85,1,0,1,1,2,3,2,1,2,2,0,
3,cc81c257-c9ec-46a8-5573-2a48471f3098,第57回全日本トランポリン競技選手権大会 予選会,,TRA,男子,Qualification,1,,1,TRUE,33,53460,0,99,0,,1,0,島田,諒太,ヒロセホールディングス株式会社,01/01/0001,,1,53460,10,0,0,E3,86,1,1,0,0,1,2,2,2,2,2,1,
4,cc81c257-c9ec-46a8-5573-2a48471f3098,第57回全日本トランポリン競技選手権大会 予選会,,TRA,男子,Qualification,1,,1,TRUE,33,53460,0,99,0,,1,0,島田,諒太,ヒロセホールディングス株式会社,01/01/0001,,1,53460,10,0,0,E4,84,1,0,1,1,2,3,2,1,3,2,0,
5,cc81c257-c9ec-46a8-5573-2a48471f3098,第57回全日本トランポリン競技選手権大会 予選会,,TRA,男子,Qualification,1,,1,TRUE,33,53460,0,99,0,,1,0,島田,諒太,ヒロセホールディングス株式会社,01/01/0001,,1,53460,10,0,0,E5,85,1,0,2,1,2,2,2,1,2,2,0,
6,cc81c257-c9ec-46a8-5573-2a48471f3098,第57回全日本トランポリン競技選手権大会 予選会,,TRA,男子,Qualification,1,,1,TRUE,33,53460,0,99,0,,1,0,島田,諒太,ヒロセホールディングス株式会社,01/01/0001,,1,53460,10,0,0,E8,88,1,0,1,1,1,2,1,2,1,1,1,
7,cc81c257-c9ec-46a8-5573-2a48471f3098,第57回全日本トランポリン競技選手権大会 予選会,,TRA,男子,Qualification,1,,1,TRUE,33,53460,0,99,0,,1,0,島田,諒太,ヒロセホールディングス株式会社,01/01/0001,,1,53460,10,0,0,E∑,173,2,0,2,2,3,4,4,2,4,4,0,0
8,cc81c257-c9ec-46a8-5573-2a48471f3098,第57回全日本トランポリン競技選手権大会 予選会,,TRA,男子,Qualification,1,,1,TRUE,33,53460,0,99,0,,1,0,島田,諒太,ヒロセホールディングス株式会社,01/01/0001,,1,53460,10,0,0,T,16460,,,,,,,,,,,,
9,cc81c257-c9ec-46a8-5573-2a48471f3098,第57回全日本トランポリン競技選手権大会 予選会,,TRA,男子,Qualification,1,,1,TRUE,33,53460,0,99,0,,1,0,島田,諒太,ヒロセホールディングス株式会社,01/01/0001,,1,53460,10,0,0,D,107,0,,,,,,,,,,,
10,cc81c257-c9ec-46a8-5573-2a48471f3098,第57回全日本トランポリン競技選手権大会 予選会,,TRA,男子,Qualification,1,,1,TRUE,33,53460,0,99,0,,1,0,島田,諒太,ヒロセホールディングス株式会社,01/01/0001,,1,53460,10,0,0,H,900,900,0,,,,,,,,,,
