#,Event UUID,Title,Subtitle,Discipline,Competition,Stage,Group #,Time,Performance #,Ranked,Rank,Mark Total,Team,Team Rank,Team Mark,Code,Athlete #,External ID,Surname,Given Name,Representing,Date of Birth,Sex,Routine #,Mark,# Elements,Bonus,Penalty,Judge,∑,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,L,A
1,30b6641b-9a1b-45a0-7b6f-2b4cfef2ab9f,第54回全日本トランポリン競技選手権大会,,TRA,個人競技 男子,Qualification,1,,1,TRUE,59,52625,0,99,0,,1,0,片岡,拓朗,Ambitious,01/01/0001,,1,47090,10,0,0,E1,87,1,0,0,1,2,1,1,1,2,2,2,0
2,30b6641b-9a1b-45a0-7b6f-2b4cfef2ab9f,第54回全日本トランポリン競技選手権大会,,TRA,個人競技 男子,Qualification,1,,1,TRUE,59,52625,0,99,0,,1,0,片岡,拓朗,Ambitious,01/01/0001,,1,47090,10,0,0,E2,82,1,1,2,2,2,2,2,1,2,2,1,0
3,30b6641b-9a1b-45a0-7b6f-2b4cfef2ab9f,第54回全日本トランポリン競技選手権大会,,TRA,個人競技 男子,Qualification,1,,1,TRUE,59,52625,0,99,0,,1,0,片岡,拓朗,Ambitious,01/01/0001,,1,47090,10,0,0,E3,81,1,1,2,1,2,2,1,2,2,2,3,0
4,30b6641b-9a1b-45a0-7b6f-2b4cfef2ab9f,第54回全日本トランポリン競技選手権大会,,TRA,個人競技 男子,Qualification,1,,1,TRUE,59,52625,0,99,0,,1,0,片岡,拓朗,Ambitious,01/01/0001,,1,47090,10,0,0,E4,84,2,1,2,1,2,1,1,0,2,2,2,0
5,30b6641b-9a1b-45a0-7b6f-2b4cfef2ab9f,第54回全日本トランポリン競技選手権大会,,TRA,個人競技 男子,Qualification,1,,1,TRUE,59,52625,0,99,0,,1,0,片岡,拓朗,Ambitious,01/01/0001,,1,47090,10,0,0,E5,100,,,,,,,,,,,,
6,30b6641b-9a1b-45a0-7b6f-2b4cfef2ab9f,第54回全日本トランポリン競技選手権大会,,TRA,個人競技 男子,Qualification,1,,1,TRUE,59,52625,0,99,0,,1,0,片岡,拓朗,Ambitious,01/01/0001,,1,47090,10,0,0,E8,100,,,,,,,,,,,,
7,30b6641b-9a1b-45a0-7b6f-2b4cfef2ab9f,第54回全日本トランポリン競技選手権大会,,TRA,個人競技 男子,Qualification,1,,1,TRUE,59,52625,0,99,0,,1,0,片岡,拓朗,Ambitious,01/01/0001,,1,47090,10,0,0,E∑,167,2,2,4,2,4,3,2,2,4,4,4,0
8,30b6641b-9a1b-45a0-7b6f-2b4cfef2ab9f,第54回全日本トランポリン競技選手権大会,,TRA,個人競技 男子,Qualification,1,,1,TRUE,59,52625,0,99,0,,1,0,片岡,拓朗,Ambitious,01/01/0001,,1,47090,10,0,0,T,16840,1835,1665,1630,1700,1650,1675,1705,1690,1640,1650,,
9,30b6641b-9a1b-45a0-7b6f-2b4cfef2ab9f,第54回全日本トランポリン競技選手権大会,,TRA,個人競技 男子,Qualification,1,,1,TRUE,59,52625,0,99,0,,1,0,片岡,拓朗,Ambitious,01/01/0001,,1,47090,10,0,0,D,43,0,,,,,,,,,,,
10,30b6641b-9a1b-45a0-7b6f-2b4cfef2ab9f,第54回全日本トランポリン競技選手権大会,,TRA,個人競技 男子,Qualification,1,,1,TRUE,59,52625,0,99,0,,1,0,片岡,拓朗,Ambitious,01/01/0001,,1,47090,10,0,0,H,925,925,0,,,,,,,,,,
11,30b6641b-9a1b-45a0-7b6f-2b4cfef2ab9f,第54回全日本トランポリン競技選手権大会,,TRA,個人競技 男子,Qualification,1,,1,TRUE,59,52625,0,99,0,,1,0,片岡,拓朗,Ambitious,01/01/0001,,2,5535,1,0,0,E1,8,2,,,,,,,,,,,0
12,30b6641b-9a1b-45a0-7b6f-2b4cfef2ab9f,第54回全日本トランポリン競技選手権大会,,TRA,個人競技 男子,Qualification,1,,1,TRUE,59,52625,0,99,0,,1,0,片岡,拓朗,Ambitious,01/01/0001,,2,5535,1,0,0,E2,7,3,,,,,,,,,,,0
13,30b6641b-9a1b-45a0-7b6f-2b4cfef2ab9f,第54回全日本トランポリン競技選手権大会,,TRA,個人競技 男子,Qualification,1,,1,TRUE,59,52625,0,99,0,,1,0,片岡,拓朗,Ambitious,01/01/0001,,2,5535,1,0,0,E3,7,3,,,,,,,,,,,0
14,30b6641b-9a1b-45a0-7b6f-2b4cfef2ab9f,第54回全日本トランポリン競技選手権大会,,TRA,個人競技 男子,Qualification,1,,1,TRUE,59,52625,0,99,0,,1,0,片岡,拓朗,Ambitious,01/01/0001,,2,5535,1,0,0,E4,8,2,,,,,,,,,,,
15,30b6641b-9a1b-45a0-7b6f-2b4cfef2ab9f,第54回全日本トランポリン競技選手権大会,,TRA,個人競技 男子,Qualification,1,,1,TRUE,59,52625,0,99,0,,1,0,片岡,拓朗,Ambitious,01/01/0001,,2,5535,1,0,0,E5,10,,,,,,,,,,,,
16,30b6641b-9a1b-45a0-7b6f-2b4cfef2ab9f,第54回全日本トランポリン競技選手権大会,,TRA,個人競技 男子,Qualification,1,,1,TRUE,59,52625,0,99,0,,1,0,片岡,拓朗,Ambitious,01/01/0001,,2,5535,1,0,0,E8,10,,,,,,,,,,,,
17,30b6641b-9a1b-45a0-7b6f-2b4cfef2ab9f,第54回全日本トランポリン競技選手権大会,,TRA,個人競技 男子,Qualification,1,,1,TRUE,59,52625,0,99,0,,1,0,片岡,拓朗,Ambitious,01/01/0001,,2,5535,1,0,0,E∑,15,5,0,0,0,0,0,0,0,0,0,0,0
18,30b6641b-9a1b-45a0-7b6f-2b4cfef2ab9f,第54回全日本トランポリン競技選手権大会,,TRA,個人競技 男子,Qualification,1,,1,TRUE,59,52625,0,99,0,,1,0,片岡,拓朗,Ambitious,01/01/0001,,2,5535,1,0,0,T,1735,1735,1660,1175,5,755,355,395,385,400,430,,
19,30b6641b-9a1b-45a0-7b6f-2b4cfef2ab9f,第54回全日本トランポリン競技選手権大会,,TRA,個人競技 男子,Qualification,1,,1,TRUE,59,52625,0,99,0,,1,0,片岡,拓朗,Ambitious,01/01/0001,,2,5535,1,0,0,D,15,0,,,,,,,,,,,
20,30b6641b-9a1b-45a0-7b6f-2b4cfef2ab9f,第54回全日本トランポリン競技選手権大会,,TRA,個人競技 男子,Qualification,1,,1,TRUE,59,52625,0,99,0,,1,0,片岡,拓朗,Ambitious,01/01/0001,,2,5535,1,0,0,H,80,80,0,,,,,,,,,,
21,30b6641b-9a1b-45a0-7b6f-2b4cfef2ab9f,第54回全日本トランポリン競技選手権大会,,TRA,個人競技 男子,Qualification,1,,2,TRUE,29,98630,0,99,0,,1,0,秦,颯士,Phoenix Trampoline School,01/01/0001,,1,46395,10,0,0,E1,84,1,0,3,0,2,1,2,2,2,2,1,0
22,30b6641b-9a1b-45a0-7b6f-2b4cfef2ab9f,第54回全日本トランポリン競技選手権大会,,TRA,個人競技 男子,Qualification,1,,2,TRUE,29,98630,0,99,0,,1,0,秦,颯士,Phoenix Trampoline School,01/01/0001,,1,46395,10,0,0,E2,82,0,2,3,1,2,2,2,2,2,2,0,0
23,30b6641b-9a1b-45a0-7b6f-2b4cfef2ab9f,第54回全日本トランポリン競技選手権大会,,TRA,個人競技 男子,Qualification,1,,2,TRUE,29,98630,0,99,0,,1,0,秦,颯士,Phoenix Trampoline School,01/01/0001,,1,46395,10,0,0,E3,83,1,1,3,1,1,1,2,2,2,2,1,0
24,30b6641b-9a1b-45a0-7b6f-2b4cfef2ab9f,第54回全日本トランポリン競技選手権大会,,TRA,個人競技 男子,Qualification,1,,2,TRUE,29,98630,0,99,0,,1,0,秦,颯士,Phoenix Trampoline School,01/01/0001,,1,46395,10,0,0,E4,82,1,2,3,2,1,0,2,2,2,1,2,0
25,30b6641b-9a1b-45a0-7b6f-2b4cfef2ab9f,第54回全日本トランポリン競技選手権大会,,TRA,個人競技 男子,Qualification,1,,2,TRUE,29,98630,0,99,0,,1,0,秦,颯士,Phoenix Trampoline School,01/01/0001,,1,46395,10,0,0,E5,100,,,,,,,,,,,,
26,30b6641b-9a1b-45a0-7b6f-2b4cfef2ab9f,第54回全日本トランポリン競技選手権大会,,TRA,個人競技 男子,Qualification,1,,2,TRUE,29,98630,0,99,0,,1,0,秦,颯士,Phoenix Trampoline School,01/01/0001,,1,46395,10,0,0,E8,100,,,,,,,,,,,,
27,30b6641b-9a1b-45a0-7b6f-2b4cfef2ab9f,第54回全日本トランポリン競技選手権大会,,TRA,個人競技 男子,Qualification,1,,2,TRUE,29,98630,0,99,0,,1,0,秦,颯士,Phoenix Trampoline School,01/01/0001,,1,46395,10,0,0,E∑,164,2,3,6,2,3,2,4,4,4,4,2,0
28,30b6641b-9a1b-45a0-7b6f-2b4cfef2ab9f,第54回全日本トランポリン競技選手権大会,,TRA,個人競技 男子,Qualification,1,,2,TRUE,29,98630,0,99,0,,1,0,秦,颯士,Phoenix Trampoline School,01/01/0001,,1,46395,10,0,0,T,16795,1905,1710,1595,1665,1710,1730,1670,1585,1630,1595,,
29,30b6641b-9a1b-45a0-7b6f-2b4cfef2ab9f,第54回全日本トランポリン競技選手権大会,,TRA,個人競技 男子,Qualification,1,,2,TRUE,29,98630,0,99,0,,1,0,秦,颯士,Phoenix Trampoline School,01/01/0001,,1,46395,10,0,0,D,39,0,,,,,,,,,,,
30,30b6641b-9a1b-45a0-7b6f-2b4cfef2ab9f,第54回全日本トランポリン競技選手権大会,,TRA,個人競技 男子,Qualification,1,,2,TRUE,29,98630,0,99,0,,1,0,秦,颯士,Phoenix Trampoline School,01/01/0001,,1,46395,10,0,0,H,930,930,0,,,,,,,,,,
31,30b6641b-9a1b-45a0-7b6f-2b4cfef2ab9f,第54回全日本トランポリン競技選手権大会,,TRA,個人競技 男子,Qualification,1,,2,TRUE,29,98630,0,99,0,,1,0,秦,颯士,Phoenix Trampoline School,01/01/0001,,2,52235,10,0,0,E1,76,2,4,3,1,2,3,2,2,3,2,0,0
32,30b6641b-9a1b-45a0-7b6f-2b4cfef2ab9f,第54回全日本トランポリン競技選手権大会,,TRA,個人競技 男子,Qualification,1,,2,TRUE,29,98630,0,99,0,,1,0,秦,颯士,Phoenix Trampoline School,01/01/0001,,2,52235,10,0,0,E2,77,2,3,2,1,2,3,3,2,3,2,0,0
